apps/posawesome/posawesome/posawesome/doctype/pos_closing_shift/closing_shift_details.html,Account,Contabilidade
DocType: POS Closing Shift Taxes,Account Head,Chefe de Conta
DocType: POS Offer,Accounts Manager,Gestor de Contas
DocType: POS Offer,Accounts User,Usuário de Contas
Custom Field - label: Sales Invoice-posa_additional_notes_section,Additional Notes,Notas adicionais
DocType: POS Closing Shift,Administrator,Administrador
Custom Field - label: POS Profile-posa_allow_sales_order,Allow Create Sales Order,Permitir Criar Ordem de Vendas
Custom Field - label: POS Profile-posa_allow_credit_sale,Allow Credit Sale,Permitir Credito de Venda
Custom Field - label: POS Profile-posa_allow_partial_payment,Allow Partial Payment,Permitir Pagamento Parcial
Custom Field - label: POS Profile-posa_allow_return,Allow Return,Permitir Devolução
Custom Field - label: POS Profile-posa_allow_submissions_in_background_job,Allow Submissions in background job,Permitir Submissões em trabalho de segundo plano
Custom Field - label: POS Profile-posa_allow_user_to_edit_item_discount,Allow User to Edit Item Discount,Permitir Usuário Editar Desconto de Item
Custom Field - label: POS Profile-posa_allow_user_to_edit_additional_discount,Allow user to edit Additional Discount,Permitir Usuário Editar Desconto Adicional
Custom Field - label: POS Profile-posa_allow_user_to_edit_rate,Allow user to edit Rate,Permitir Usuário Editar Preço
DocType: POS Closing Shift,Amended From,Corrigido Apartir
DocType: POS Closing Shift Taxes,Amount,Valor
Custom Field - label: POS Profile-posa_apply_customer_discount,Apply Customer Discount,Aplicar Desconto de Cliente
DocType: POS Offer,Apply For,Aplicar Para
DocType: POS Offer Detail,Apply On,Aplicar Em
DocType: POS Offer,Apply Rule On Brand,Aplicar Regra na Marca
DocType: POS Offer,Apply Rule On Item Code,Aplicar Regra no Codigo do Item
DocType: POS Offer,Apply Rule On Item Group,Aplicar Regra no Grupo do Item
DocType: POS Offer,Apply Type,Aplicar Tipo
DocType: POS Offer,Auto Apply,Auto Aplicar
Custom Field - label: POS Profile-posa_allow_delete,Auto Delete Draft Invoice,Auto Apagar Factura Rascunho
Custom Field - label: POS Profile-posa_auto_set_batch,Auto Set Batch,Auto Definir Lote
DocType: POS Offer,Brand,Marca
DocType: POS Opening Shift,Cancelled,Cancelado
Custom Field - label: POS Profile-posa_cash_mode_of_payment,Cash Mode of Payment,Modo de Pagamento em Dinheiro
DocType: POS Closing Shift,Cashier,Caixa
DocType: POS Opening Shift,Closed,Fechado
DocType: POS Closing Shift Detail,Closing Amount,Valor de Fecho
DocType: POS Closing Shift,Company,Empresa
DocType: Sales Invoice Reference,Customer,Cliente
DocType: Sales Invoice Reference,Date,Data
DocType: POS Offer,Default Loyalty Program,Programa de Lealdade Padrão
Custom Field - label: Sales Invoice-posa_delivery_date,Delivery Date,Data de Entrega
